Country,transportation_type,date,mobility,Country_code
Italy,walking,2021-01-17,35.4,IT
Italy,driving,2021-01-18,65.98,IT
Italy,transit,2021-01-18,52.95,IT
Italy,walking,2021-01-18,48.84,IT
Italy,driving,2021-01-19,67.51,IT
Italy,transit,2021-01-19,52.77,IT
Italy,walking,2021-01-19,50.12,IT
Italy,driving,2021-01-20,67.19,IT
Italy,transit,2021-01-20,51.8,IT
Italy,walking,2021-01-20,49.56,IT
Italy,driving,2021-01-21,67.53,IT
Italy,transit,2021-01-21,50.18,IT
Italy,walking,2021-01-21,49.86,IT
Italy,driving,2021-01-22,68,IT
Italy,transit,2021-01-22,50,IT
Italy,walking,2021-01-22,49.24,IT
Italy,driving,2021-01-23,60.13,IT
Italy,transit,2021-01-23,46.26,IT
Italy,walking,2021-01-23,52.46,IT
Italy,driving,2021-01-24,52.21,IT
Italy,transit,2021-01-24,48.07,IT
Italy,walking,2021-01-24,39.46,IT
Italy,driving,2021-01-25,68.63,IT
Italy,transit,2021-01-25,54.49,IT
Italy,walking,2021-01-25,49.69,IT
Italy,driving,2021-01-26,71.65,IT
Italy,transit,2021-01-26,54.59,IT
Italy,walking,2021-01-26,55.03,IT
Italy,driving,2021-01-27,71.53,IT
Italy,transit,2021-01-27,55.22,IT
Italy,walking,2021-01-27,53.46,IT
Italy,driving,2021-01-28,72.39,IT
Italy,transit,2021-01-28,55.83,IT
Italy,walking,2021-01-28,53.54,IT
Italy,driving,2021-01-29,72.35,IT
Italy,transit,2021-01-29,54.17,IT
Italy,walking,2021-01-29,54.72,IT
Italy,driving,2021-01-30,68.06,IT
Italy,transit,2021-01-30,53.1,IT
Italy,walking,2021-01-30,60.8,IT
Italy,driving,2021-01-31,57.52,IT
Italy,transit,2021-01-31,53.96,IT
Italy,walking,2021-01-31,43.47,IT
Italy,driving,2021-02-01,76.36,IT
Italy,transit,2021-02-01,62.7,IT
Italy,walking,2021-02-01,56.4,IT
Italy,driving,2021-02-02,78.82,IT
Italy,transit,2021-02-02,62.48,IT
Italy,walking,2021-02-02,60.47,IT
Italy,driving,2021-02-03,79.41,IT
Italy,transit,2021-02-03,61.82,IT
Italy,walking,2021-02-03,58.64,IT
Italy,driving,2021-02-04,81.25,IT
Italy,transit,2021-02-04,62.64,IT
Italy,walking,2021-02-04,62.21,IT
Italy,driving,2021-02-05,85.24,IT
Italy,transit,2021-02-05,64.17,IT
Italy,walking,2021-02-05,66.27,IT
Italy,driving,2021-02-06,91.51,IT
Italy,transit,2021-02-06,65.43,IT
Italy,walking,2021-02-06,85.9,IT
Italy,driving,2021-02-07,70.93,IT
Italy,transit,2021-02-07,57.77,IT
Italy,walking,2021-02-07,49.11,IT
Italy,driving,2021-02-08,80.12,IT
Italy,transit,2021-02-08,68.82,IT
Italy,walking,2021-02-08,61.33,IT
Italy,driving,2021-02-09,80.72,IT
Italy,transit,2021-02-09,67.02,IT
Italy,walking,2021-02-09,60.67,IT
Italy,driving,2021-02-10,82.31,IT
Italy,transit,2021-02-10,67.71,IT
Italy,walking,2021-02-10,60.59,IT
Italy,driving,2021-02-11,87.29,IT
Italy,transit,2021-02-11,69,IT
Italy,walking,2021-02-11,68.67,IT
Italy,driving,2021-02-12,86.43,IT
Italy,transit,2021-02-12,67.82,IT
Italy,walking,2021-02-12,66.64,IT
Italy,driving,2021-02-13,87.58,IT
Italy,transit,2021-02-13,67.48,IT
Italy,walking,2021-02-13,78.41,IT
Italy,driving,2021-02-14,97.9,IT
Italy,transit,2021-02-14,71.36,IT
Italy,walking,2021-02-14,83.64,IT
Italy,driving,2021-02-15,81.68,IT
Italy,transit,2021-02-15,71.12,IT
Italy,walking,2021-02-15,64.19,IT
Italy,driving,2021-02-16,84.05,IT
Italy,transit,2021-02-16,71.25,IT
Italy,walking,2021-02-16,66.12,IT
Italy,driving,2021-02-17,83.66,IT
Italy,transit,2021-02-17,71.6,IT
Italy,walking,2021-02-17,66.58,IT
Italy,driving,2021-02-18,84.8,IT
Italy,transit,2021-02-18,71.8,IT
Italy,walking,2021-02-18,66.9,IT
Italy,driving,2021-02-19,89.5,IT
Italy,transit,2021-02-19,73.67,IT
Italy,walking,2021-02-19,71.94,IT
Italy,driving,2021-02-20,95.97,IT
Italy,transit,2021-02-20,73.02,IT
Italy,walking,2021-02-20,91.15,IT
Italy,driving,2021-02-21,86.83,IT
Italy,transit,2021-02-21,70.52,IT
Italy,walking,2021-02-21,71.34,IT
Italy,driving,2021-02-22,79.09,IT
Italy,transit,2021-02-22,72.9,IT
Italy,walking,2021-02-22,62.54,IT
Italy,driving,2021-02-23,81.82,IT
Italy,transit,2021-02-23,71.63,IT
Italy,walking,2021-02-23,66.53,IT
Italy,driving,2021-02-24,83.69,IT
Italy,transit,2021-02-24,72.72,IT
Italy,walking,2021-02-24,69.2,IT
Italy,driving,2021-02-25,85.17,IT
Italy,transit,2021-02-25,72.47,IT
Italy,walking,2021-02-25,71.38,IT
Italy,driving,2021-02-26,90.15,IT
Italy,transit,2021-02-26,72.57,IT
Italy,walking,2021-02-26,74.98,IT
Italy,driving,2021-02-27,93.22,IT
Italy,transit,2021-02-27,73.29,IT
Italy,walking,2021-02-27,90.26,IT
Italy,driving,2021-02-28,93.4,IT
Italy,transit,2021-02-28,74.1,IT
Italy,walking,2021-02-28,80.56,IT
Italy,driving,2021-03-01,75.78,IT
Italy,transit,2021-03-01,69.99,IT
Italy,walking,2021-03-01,62.17,IT
Italy,driving,2021-03-02,77.19,IT
Italy,transit,2021-03-02,67.67,IT
Italy,walking,2021-03-02,64.18,IT
Italy,driving,2021-03-03,78.43,IT
Italy,transit,2021-03-03,67.43,IT
Italy,walking,2021-03-03,63.36,IT
Italy,driving,2021-03-04,77.94,IT
Italy,transit,2021-03-04,65.3,IT
Italy,walking,2021-03-04,62.7,IT
Italy,driving,2021-03-05,77.25,IT
Italy,transit,2021-03-05,63.79,IT
Italy,walking,2021-03-05,63.4,IT
Italy,driving,2021-03-06,70.44,IT
Italy,transit,2021-03-06,57.76,IT
Italy,walking,2021-03-06,65.71,IT
Italy,driving,2021-03-07,65.42,IT
Italy,transit,2021-03-07,59.47,IT
Italy,walking,2021-03-07,57.41,IT
Italy,driving,2021-03-08,69.84,IT
Italy,transit,2021-03-08,59.71,IT
Italy,walking,2021-03-08,54.08,IT
Italy,driving,2021-03-09,70.26,IT
Italy,transit,2021-03-09,62.18,IT
Italy,walking,2021-03-09,54.35,IT
Italy,driving,2021-03-10,72.58,IT
Italy,transit,2021-03-10,62.05,IT
Italy,walking,2021-03-10,59.01,IT
Italy,driving,2021-03-11,73.17,IT
Italy,transit,2021-03-11,62.23,IT
Italy,walking,2021-03-11,58.28,IT
Italy,driving,2021-03-12,,IT
Italy,transit,2021-03-12,,IT
Italy,walking,2021-03-12,,IT
Italy,driving,2021-03-13,70.38,IT
Italy,transit,2021-03-13,63.04,IT
Italy,walking,2021-03-13,71.16,IT
Italy,driving,2021-03-14,60.11,IT
Italy,transit,2021-03-14,59.5,IT
Italy,walking,2021-03-14,52.68,IT
Italy,driving,2021-03-15,57.96,IT
Italy,transit,2021-03-15,48.5,IT
Italy,walking,2021-03-15,45.38,IT
Italy,driving,2021-03-16,59.86,IT
Italy,transit,2021-03-16,46.59,IT
Italy,walking,2021-03-16,46.65,IT
Italy,driving,2021-03-17,61.88,IT
Italy,transit,2021-03-17,46.31,IT
Italy,walking,2021-03-17,48.11,IT
Italy,driving,2021-03-18,62.76,IT
Italy,transit,2021-03-18,46.08,IT
Italy,walking,2021-03-18,47.75,IT
Italy,driving,2021-03-19,62.42,IT
Italy,transit,2021-03-19,42.53,IT
Italy,walking,2021-03-19,48.58,IT
Italy,driving,2021-03-20,52.71,IT
Italy,transit,2021-03-20,41.36,IT
Italy,walking,2021-03-20,48.63,IT
Italy,driving,2021-03-21,45.35,IT
Italy,transit,2021-03-21,44.74,IT
Italy,walking,2021-03-21,39.47,IT
Italy,driving,2021-03-22,61.89,IT
Italy,transit,2021-03-22,50.27,IT
Italy,walking,2021-03-22,47.45,IT
Italy,driving,2021-03-23,63.74,IT
Italy,transit,2021-03-23,49.98,IT
Italy,walking,2021-03-23,49.74,IT
Italy,driving,2021-03-24,65.52,IT
Italy,transit,2021-03-24,51.56,IT
Italy,walking,2021-03-24,50.84,IT
Italy,driving,2021-03-25,65.99,IT
Italy,transit,2021-03-25,49.87,IT
Italy,walking,2021-03-25,51.64,IT
Italy,driving,2021-03-26,68.03,IT
Italy,transit,2021-03-26,53.11,IT
Italy,walking,2021-03-26,55.7,IT
Italy,driving,2021-03-27,57.5,IT
Italy,transit,2021-03-27,45.28,IT
Italy,walking,2021-03-27,52.3,IT
Italy,driving,2021-03-28,51,IT
Italy,transit,2021-03-28,49.1,IT
Italy,walking,2021-03-28,45.97,IT
Italy,driving,2021-03-29,65.22,IT
Italy,transit,2021-03-29,55.07,IT
Italy,walking,2021-03-29,50.76,IT
Italy,driving,2021-03-30,69.96,IT
Italy,transit,2021-03-30,56.2,IT
Italy,walking,2021-03-30,55.7,IT
Italy,driving,2021-03-31,72.92,IT
Italy,transit,2021-03-31,58.05,IT
Italy,walking,2021-03-31,57.49,IT
Italy,driving,2021-04-01,74.45,IT
Italy,transit,2021-04-01,57.57,IT
Italy,walking,2021-04-01,58.62,IT
Italy,driving,2021-04-02,70.02,IT
Italy,transit,2021-04-02,53.81,IT
Italy,walking,2021-04-02,56.2,IT
Italy,driving,2021-04-03,48.64,IT
Italy,transit,2021-04-03,37.57,IT
Italy,walking,2021-04-03,39.86,IT
Italy,driving,2021-04-04,35.04,IT
Italy,transit,2021-04-04,34.87,IT
Italy,walking,2021-04-04,28.07,IT
Italy,driving,2021-04-05,55.29,IT
Italy,transit,2021-04-05,48.31,IT
Italy,walking,2021-04-05,40.49,IT
Italy,driving,2021-04-06,71.09,IT
Italy,transit,2021-04-06,61.14,IT
Italy,walking,2021-04-06,48.23,IT
Italy,driving,2021-04-07,72.02,IT
Italy,transit,2021-04-07,59.77,IT
Italy,walking,2021-04-07,51.31,IT
Italy,driving,2021-04-08,74.45,IT
Italy,transit,2021-04-08,59.16,IT
Italy,walking,2021-04-08,55.25,IT
Italy,driving,2021-04-09,74.26,IT
Italy,transit,2021-04-09,58.29,IT
Italy,walking,2021-04-09,55.77,IT
Italy,driving,2021-04-10,62.95,IT
Italy,transit,2021-04-10,55,IT
Italy,walking,2021-04-10,51.5,IT
Italy,driving,2021-04-11,58.47,IT
