areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Northern Ireland,N92000002,2021-09-18,1072,225387
nation,Northern Ireland,N92000002,2021-09-17,1239,224315
nation,Northern Ireland,N92000002,2021-09-16,1071,223076
nation,Northern Ireland,N92000002,2021-09-15,1304,222005
nation,Northern Ireland,N92000002,2021-09-14,1590,220701
nation,Northern Ireland,N92000002,2021-09-13,1199,219111
nation,Northern Ireland,N92000002,2021-09-12,1031,217912
nation,Northern Ireland,N92000002,2021-09-11,1424,216881
nation,Northern Ireland,N92000002,2021-09-10,1687,215457
nation,Northern Ireland,N92000002,2021-09-09,1831,213770
nation,Northern Ireland,N92000002,2021-09-08,1210,211939
nation,Northern Ireland,N92000002,2021-09-07,1748,210729
nation,Northern Ireland,N92000002,2021-09-06,1764,208981
nation,Northern Ireland,N92000002,2021-09-05,1232,207217
nation,Northern Ireland,N92000002,2021-09-04,1812,205985
nation,Northern Ireland,N92000002,2021-09-03,1248,204173
nation,Northern Ireland,N92000002,2021-09-02,793,202925
nation,Northern Ireland,N92000002,2021-09-01,1472,202132
nation,Northern Ireland,N92000002,2021-08-31,1313,200660
nation,Northern Ireland,N92000002,2021-08-30,1259,199347
nation,Northern Ireland,N92000002,2021-08-29,1225,198088
nation,Northern Ireland,N92000002,2021-08-28,1430,196863
nation,Northern Ireland,N92000002,2021-08-27,1875,195433
nation,Northern Ireland,N92000002,2021-08-26,1550,193558
nation,Northern Ireland,N92000002,2021-08-25,1771,192008
nation,Northern Ireland,N92000002,2021-08-24,1648,190237
nation,Northern Ireland,N92000002,2021-08-23,1320,188589
nation,Northern Ireland,N92000002,2021-08-22,1485,187269
nation,Northern Ireland,N92000002,2021-08-21,1612,185784
nation,Northern Ireland,N92000002,2021-08-20,2397,184172
nation,Northern Ireland,N92000002,2021-08-19,1963,181775
nation,Northern Ireland,N92000002,2021-08-18,1345,179812
nation,Northern Ireland,N92000002,2021-08-17,1564,178467
nation,Northern Ireland,N92000002,2021-08-16,1306,176903
nation,Northern Ireland,N92000002,2021-08-15,1294,175597
nation,Northern Ireland,N92000002,2021-08-14,1437,174303
nation,Northern Ireland,N92000002,2021-08-13,1389,172866
nation,Northern Ireland,N92000002,2021-08-12,1610,171477
