country,transportation_type,date,mobility
Wales,walking,2020-02-25,102.34
Wales,transit,2020-02-25,92.07
England,driving,2020-02-26,109.57
England,walking,2020-02-26,121.75
England,transit,2020-02-26,108.91
NorthernIreland,driving,2020-02-26,111.42
NorthernIreland,walking,2020-02-26,118.49
NorthernIreland,transit,2020-02-26,90.63
Scotland,driving,2020-02-26,111.61
Scotland,walking,2020-02-26,115.12
Scotland,transit,2020-02-26,112.04
Wales,driving,2020-02-26,109.32
Wales,walking,2020-02-26,118.08
Wales,transit,2020-02-26,97.46
England,driving,2020-02-27,109.12
England,walking,2020-02-27,119.3
England,transit,2020-02-27,108.35
NorthernIreland,driving,2020-02-27,117.81
NorthernIreland,walking,2020-02-27,131.49
NorthernIreland,transit,2020-02-27,109.53
Scotland,driving,2020-02-27,116.23
Scotland,walking,2020-02-27,127.04
Scotland,transit,2020-02-27,112.44
Wales,driving,2020-02-27,105.7
Wales,walking,2020-02-27,106.72
Wales,transit,2020-02-27,88.69
England,driving,2020-02-28,121.68
England,walking,2020-02-28,137.16
England,transit,2020-02-28,118.46
NorthernIreland,driving,2020-02-28,125.45
NorthernIreland,walking,2020-02-28,153.02
NorthernIreland,transit,2020-02-28,106.53
Scotland,driving,2020-02-28,129.05
Scotland,walking,2020-02-28,152.93
Scotland,transit,2020-02-28,123.27
Wales,driving,2020-02-28,133.11
Wales,walking,2020-02-28,133.03
Wales,transit,2020-02-28,107.42
England,driving,2020-02-29,115.13
England,walking,2020-02-29,162
England,transit,2020-02-29,119.35
NorthernIreland,driving,2020-02-29,119.54
NorthernIreland,walking,2020-02-29,161.07
NorthernIreland,transit,2020-02-29,95.03
Scotland,driving,2020-02-29,125.32
Scotland,walking,2020-02-29,173.72
Scotland,transit,2020-02-29,115.7
Wales,driving,2020-02-29,114.54
Wales,walking,2020-02-29,147.74
Wales,transit,2020-02-29,88.37
England,driving,2020-03-01,100.62
England,walking,2020-03-01,105.78
England,transit,2020-03-01,104.03
NorthernIreland,driving,2020-03-01,89.7
NorthernIreland,walking,2020-03-01,94.3
NorthernIreland,transit,2020-03-01,80.9
Scotland,driving,2020-03-01,99.85
Scotland,walking,2020-03-01,103.88
Scotland,transit,2020-03-01,104.52
Wales,driving,2020-03-01,98.71
Wales,walking,2020-03-01,92.3
Wales,transit,2020-03-01,82.46
England,driving,2020-03-02,104.36
England,walking,2020-03-02,107.17
England,transit,2020-03-02,103.91
NorthernIreland,driving,2020-03-02,109.22
NorthernIreland,walking,2020-03-02,115.25
NorthernIreland,transit,2020-03-02,109.37
Scotland,driving,2020-03-02,106.17
Scotland,walking,2020-03-02,108.6
Scotland,transit,2020-03-02,107.16
Wales,driving,2020-03-02,106.52
Wales,walking,2020-03-02,111.67
Wales,transit,2020-03-02,91.25
England,driving,2020-03-03,108.02
England,walking,2020-03-03,114.34
England,transit,2020-03-03,105.49
NorthernIreland,driving,2020-03-03,113.23
NorthernIreland,walking,2020-03-03,134.64
NorthernIreland,transit,2020-03-03,100.99
Scotland,driving,2020-03-03,110.85
Scotland,walking,2020-03-03,116.8
Scotland,transit,2020-03-03,108.92
Wales,driving,2020-03-03,109.34
Wales,walking,2020-03-03,115.5
Wales,transit,2020-03-03,95.54
England,driving,2020-03-04,108.53
England,walking,2020-03-04,115.62
England,transit,2020-03-04,106.14
NorthernIreland,driving,2020-03-04,112.93
NorthernIreland,walking,2020-03-04,131.98
NorthernIreland,transit,2020-03-04,104.07
Scotland,driving,2020-03-04,115.4
Scotland,walking,2020-03-04,126.31
Scotland,transit,2020-03-04,107.37
Wales,driving,2020-03-04,125.39
Wales,walking,2020-03-04,118.01
Wales,transit,2020-03-04,97.67
England,driving,2020-03-05,109.02
England,walking,2020-03-05,108.55
England,transit,2020-03-05,105.18
NorthernIreland,driving,2020-03-05,112
NorthernIreland,walking,2020-03-05,119.3
NorthernIreland,transit,2020-03-05,104.07
Scotland,driving,2020-03-05,112.78
Scotland,walking,2020-03-05,126.08
Scotland,transit,2020-03-05,108.36
Wales,driving,2020-03-05,104.64
Wales,walking,2020-03-05,111.43
Wales,transit,2020-03-05,88.26
England,driving,2020-03-06,117.76
England,walking,2020-03-06,143.44
England,transit,2020-03-06,114.96
NorthernIreland,driving,2020-03-06,125.6
NorthernIreland,walking,2020-03-06,147.56
NorthernIreland,transit,2020-03-06,98.4
Scotland,driving,2020-03-06,126.7
Scotland,walking,2020-03-06,156.33
Scotland,transit,2020-03-06,115.88
Wales,driving,2020-03-06,121.19
Wales,walking,2020-03-06,143.79
Wales,transit,2020-03-06,92.01
England,driving,2020-03-07,114.51
England,walking,2020-03-07,172.33
England,transit,2020-03-07,118.61
NorthernIreland,driving,2020-03-07,122.64
NorthernIreland,walking,2020-03-07,161.85
NorthernIreland,transit,2020-03-07,96.67
Scotland,driving,2020-03-07,123.15
Scotland,walking,2020-03-07,176.32
Scotland,transit,2020-03-07,115.38
Wales,driving,2020-03-07,107.1
Wales,walking,2020-03-07,165.86
Wales,transit,2020-03-07,87.28
England,driving,2020-03-08,97.43
England,walking,2020-03-08,99.61
