"country","date","proportion"
"Wales","2020-11-04",10.2
"Wales","2020-11-05",11.6
"Wales","2020-11-06",13
"Wales","2020-11-07",14.4
"Wales","2020-11-08",15.8
"Wales","2020-11-09",17.2
"Wales","2020-11-10",18.73
"Wales","2020-11-11",20.26
"Wales","2020-11-12",21.79
"Wales","2020-11-13",23.31
"Wales","2020-11-14",24.84
"Wales","2020-11-15",26.37
"Wales","2020-11-16",27.9
"Wales","2020-11-17",25.1
"Wales","2020-11-18",22.3
"Wales","2020-11-19",19.5
"Wales","2020-11-20",16.7
"Wales","2020-11-21",13.9
"Wales","2020-11-22",11.1
"Wales","2020-11-23",8.3
"Wales","2020-11-24",8.64
"Wales","2020-11-25",8.99
"Wales","2020-11-26",9.33
"Wales","2020-11-27",9.67
"Wales","2020-11-28",10.01
"Wales","2020-11-29",10.36
"Wales","2020-11-30",10.7
"Wales","2020-12-01",12.93
"Wales","2020-12-02",15.16
"Wales","2020-12-03",17.39
"Wales","2020-12-04",19.61
"Wales","2020-12-05",21.84
"Wales","2020-12-06",24.07
"Wales","2020-12-07",26.3
"Wales","2020-12-08",24.46
"Wales","2020-12-09",22.61
"Wales","2020-12-10",20.77
"Wales","2020-12-11",18.93
"Wales","2020-12-12",17.09
"Wales","2020-12-13",15.24
"Wales","2020-12-14",13.4
"Wales","2020-12-15",13.76
"Wales","2020-12-16",14.11
"Wales","2020-12-17",14.47
"Wales","2020-12-18",14.83
"Wales","2020-12-19",15.19
"Wales","2020-12-20",15.54
"Wales","2020-12-21",15.9
"Wales","2020-12-22",16.46
"Wales","2020-12-23",17.01
"Wales","2020-12-24",17.57
"Wales","2020-12-25",18.13
"Wales","2020-12-26",18.69
"Wales","2020-12-27",19.24
"Wales","2020-12-28",19.8
"Wales","2020-12-29",24.74
"Wales","2020-12-30",29.69
"Wales","2020-12-31",34.63
"Wales","2021-01-01",39.57
"Wales","2021-01-02",44.51
"Wales","2021-01-03",49.46
"Wales","2021-01-04",54.4
"Wales","2021-01-05",55.41
"Wales","2021-01-06",56.43
"Wales","2021-01-07",57.44
"Wales","2021-01-08",58.46
"Wales","2021-01-09",59.47
"Wales","2021-01-10",60.49
"Wales","2021-01-11",61.5
"Wales","2021-01-12",62.57
"Wales","2021-01-13",63.64
"Wales","2021-01-14",64.71
"Wales","2021-01-15",65.79
"Wales","2021-01-16",66.86
"Wales","2021-01-17",67.93
"Wales","2021-01-18",69
"Wales","2021-01-19",68.87
"Wales","2021-01-20",68.74
"Wales","2021-01-21",68.61
"Wales","2021-01-22",68.49
"Wales","2021-01-23",68.36
"Wales","2021-01-24",68.23
"Wales","2021-01-25",68.1
"Wales","2021-01-26",69.37
"Wales","2021-01-27",70.64
"Wales","2021-01-28",71.91
"Wales","2021-01-29",73.19
"Wales","2021-01-30",74.46
"Wales","2021-01-31",75.73
"Wales","2021-02-01",77
"Wales","2021-02-02",76.26
"Wales","2021-02-03",75.51
"Wales","2021-02-04",74.77
"Wales","2021-02-05",74.03
"Wales","2021-02-06",73.29
"Wales","2021-02-07",72.54
"Wales","2021-02-08",71.8
"Wales","2021-02-09",72.37
"Wales","2021-02-10",72.94
"Wales","2021-02-11",73.51
"Wales","2021-02-12",74.09
"Wales","2021-02-13",74.66
"Wales","2021-02-14",75.23
"Wales","2021-02-15",75.8
"Wales","2021-02-16",77.53
"Wales","2021-02-17",79.26
"Wales","2021-02-18",80.99
"Wales","2021-02-19",82.71
"Wales","2021-02-20",84.44
"Wales","2021-02-21",86.17
"Wales","2021-02-22",87.9
"Wales","2021-02-23",86.77
"Wales","2021-02-24",85.64
"Wales","2021-02-25",84.51
"Wales","2021-02-26",83.39
